Date,City,District,Price
2019-08-01,Vilnius,Turniškės,2697.27
2021-03-01,Vilnius,Turniškės,2609.72
2018-08-01,Vilnius,Turniškės,3261.03
2020-10-01,Vilnius,Turniškės,2513.64
2019-06-01,Vilnius,Turniškės,2695.29
2019-02-01,Vilnius,Turniškės,2931.29
2019-05-01,Vilnius,Turniškės,2608.47
2018-02-01,Vilnius,Turniškės,3170.82
2018-11-01,Vilnius,Turniškės,3290.08
2019-11-01,Vilnius,Turniškės,2373.66
2019-04-01,Vilnius,Turniškės,2623.63
2018-07-01,Vilnius,Turniškės,3287.27
2020-06-01,Vilnius,Turniškės,2108.69
2020-12-01,Vilnius,Turniškės,2722.02
2018-04-01,Vilnius,Turniškės,3215.72
2018-01-01,Vilnius,Turniškės,3227.61
2020-09-01,Vilnius,Turniškės,2315.34
2018-12-01,Vilnius,Turniškės,3003.14
2021-01-01,Vilnius,Turniškės,3585.12
2020-12-01,Vilnius,Kairėnai,1180.0
2021-01-01,Vilnius,Kairėnai,1183.33
2018-11-01,Vilnius,Galgiai,1106.62
2018-07-01,Vilnius,Galgiai,926.69
2020-07-01,Vilnius,Galgiai,1087.93
2018-08-01,Vilnius,Galgiai,926.81
2020-06-01,Vilnius,Galgiai,1090.0
2018-10-01,Vilnius,Galgiai,1128.97
2020-09-01,Vilnius,Galgiai,999.0
2018-09-01,Vilnius,Galgiai,926.69
2019-03-01,Vilnius,Galgiai,708.33
2018-12-01,Vilnius,Galgiai,1080.84
2020-05-01,Vilnius,Galgiai,1090.0
2020-08-01,Vilnius,Galgiai,1042.95
2017-12-01,Vilnius,Gariūnai,866.67
2019-03-01,Vilnius,Gariūnai,732.0
2018-11-01,Vilnius,Gariūnai,732.0
2018-04-01,Vilnius,Gariūnai,773.33
2018-08-01,Vilnius,Gariūnai,772.0
2018-05-01,Vilnius,Gariūnai,773.33
2018-10-01,Vilnius,Gariūnai,732.0
2018-12-01,Vilnius,Gariūnai,732.0
2019-01-01,Vilnius,Gariūnai,732.0
2018-06-01,Vilnius,Gariūnai,773.33
2018-09-01,Vilnius,Gariūnai,732.0
2018-03-01,Vilnius,Gariūnai,773.33
2019-02-01,Vilnius,Gariūnai,732.0
2020-02-01,Vilnius,Gineitiškės,675.29
2021-03-01,Vilnius,Gineitiškės,1864.52
2019-09-01,Vilnius,Gineitiškės,1214.39
2017-01-01,Vilnius,Gineitiškės,1299.74
2018-02-01,Vilnius,Gineitiškės,1064.57
2019-04-01,Vilnius,Gineitiškės,758.13
2020-06-01,Vilnius,Gineitiškės,750.0
2017-02-01,Vilnius,Gineitiškės,1299.77
2018-07-01,Vilnius,Gineitiškės,908.63
2020-12-01,Vilnius,Gineitiškės,1499.59
2019-06-01,Vilnius,Gineitiškės,1278.53
2019-11-01,Vilnius,Gineitiškės,901.29
2017-03-01,Vilnius,Gineitiškės,1312.36
2019-05-01,Vilnius,Gineitiškės,1062.72
2019-07-01,Vilnius,Gineitiškės,1106.93
2020-08-01,Vilnius,Gineitiškės,1553.39
2018-12-01,Vilnius,Gineitiškės,690.13
2019-08-01,Vilnius,Gineitiškės,888.6
2018-09-01,Vilnius,Gineitiškės,750.75
2020-11-01,Vilnius,Gineitiškės,1529.03
2018-05-01,Vilnius,Gineitiškės,1094.05
2019-03-01,Vilnius,Gineitiškės,832.82
2020-07-01,Vilnius,Gineitiškės,750.0
2020-03-01,Vilnius,Gineitiškės,750.0
2020-10-01,Vilnius,Gineitiškės,1674.15
2018-03-01,Vilnius,Gineitiškės,1122.29
2019-02-01,Vilnius,Gineitiškės,846.04
2017-04-01,Vilnius,Gineitiškės,1262.77
2020-01-01,Vilnius,Gineitiškės,771.89
2018-04-01,Vilnius,Gineitiškės,1046.2
2019-01-01,Vilnius,Gineitiškės,726.35
2019-10-01,Vilnius,Gineitiškės,1087.5
2017-12-01,Vilnius,Gineitiškės,1110.18
2018-10-01,Vilnius,Gineitiškės,788.06
2019-12-01,Vilnius,Gineitiškės,983.77
2018-08-01,Vilnius,Gineitiškės,756.26
2020-09-01,Vilnius,Gineitiškės,1781.59
2018-06-01,Vilnius,Gineitiškės,826.97
2019-06-01,Vilnius,Pagiriai,1014.62
2019-01-01,Vilnius,Pagiriai,716.76
2020-10-01,Vilnius,Pagiriai,1248.23
2018-11-01,Vilnius,Pagiriai,765.82
2020-05-01,Vilnius,Pagiriai,1027.82
2017-03-01,Vilnius,Pagiriai,1102.89
2019-09-01,Vilnius,Pagiriai,868.22
2020-07-01,Vilnius,Pagiriai,1129.11
2017-12-01,Vilnius,Pagiriai,1017.38
2018-03-01,Vilnius,Pagiriai,1003.16
2018-10-01,Vilnius,Pagiriai,782.99
2018-04-01,Vilnius,Pagiriai,935.78
2018-07-01,Vilnius,Pagiriai,883.83
2019-11-01,Vilnius,Pagiriai,704.26
2019-10-01,Vilnius,Pagiriai,876.71
2020-09-01,Vilnius,Pagiriai,1137.87
2020-08-01,Vilnius,Pagiriai,1124.46
2018-01-01,Vilnius,Pagiriai,1017.38
2018-02-01,Vilnius,Pagiriai,1077.65
2019-08-01,Vilnius,Pagiriai,892.77
2018-09-01,Vilnius,Pagiriai,838.59
2018-08-01,Vilnius,Pagiriai,861.33
2018-06-01,Vilnius,Pagiriai,917.02
2019-07-01,Vilnius,Pagiriai,943.99
2018-05-01,Vilnius,Pagiriai,981.64
2018-08-01,Vilnius,Ožkiniai,994.71
2019-11-01,Vilnius,Ožkiniai,807.19
2019-12-01,Vilnius,Ožkiniai,761.5
2019-10-01,Vilnius,Ožkiniai,805.26
2020-02-01,Vilnius,Ožkiniai,761.5
2020-01-01,Vilnius,Ožkiniai,761.5
2018-06-01,Vilnius,Galgiai,926.69
2018-05-01,Vilnius,Galgiai,926.69
2018-04-01,Vilnius,Galgiai,926.69
2019-03-01,Vilnius,Buivydiškės,1505.54
2019-11-01,Vilnius,Buivydiškės,1714.25
2017-07-01,Vilnius,Buivydiškės,1372.67
2017-10-01,Vilnius,Buivydiškės,1176.81
2020-02-01,Vilnius,Buivydiškės,1652.94
2018-08-01,Vilnius,Buivydiškės,1392.27
2019-01-01,Vilnius,Buivydiškės,1554.52
2018-12-01,Vilnius,Buivydiškės,1552.44
2019-06-01,Vilnius,Buivydiškės,702.52
2018-09-01,Vilnius,Buivydiškės,1410.79
2018-02-01,Vilnius,Buivydiškės,1216.76
2019-08-01,Vilnius,Buivydiškės,1772.01
